returned_episode_lengths,returned_episode_returns,returned_episode_solved,delay,method,level,execute_horizon
34.86914,0.9868164,0.96533203,0,naive,worlds/l/grasp_easy.json,1
100.197266,0.7529297,0.7392578,0,naive,worlds/l/catapult.json,1
54.654297,0.9995117,0.99902344,0,naive,worlds/l/cartpole_thrust.json,1
49.41504,0.98583984,0.9355469,0,naive,worlds/l/hard_lunar_lander.json,1
69.08203,0.9921875,0.8754883,0,naive,worlds/l/mjc_half_cheetah.json,1
148.2832,1.0,0.921875,0,naive,worlds/l/mjc_swimmer.json,1
171.11035,0.94189453,0.8100586,0,naive,worlds/l/mjc_walker.json,1
77.17041,0.99902344,0.9970703,0,naive,worlds/l/h17_unicycle.json,1
48.301758,0.99658203,0.9501953,0,naive,worlds/l/chain_lander.json,1
67.25781,0.99658203,0.9741211,0,naive,worlds/l/catcher_v3.json,1
173.19336,0.79052734,0.8305664,0,naive,worlds/l/trampoline.json,1
47.7666,0.99072266,0.9692383,0,naive,worlds/l/car_launch.json,1
33.805176,0.9995117,0.9707031,0,realtime,worlds/l/grasp_easy.json,1
102.19287,0.74316406,0.7260742,0,realtime,worlds/l/catapult.json,1
55.083008,1.0,0.9995117,0,realtime,worlds/l/cartpole_thrust.json,1
48.453125,0.99316406,0.9453125,0,realtime,worlds/l/hard_lunar_lander.json,1
72.36133,0.98876953,0.8696289,0,realtime,worlds/l/mjc_half_cheetah.json,1
141.4541,1.0,0.9145508,0,realtime,worlds/l/mjc_swimmer.json,1
162.73145,0.95947266,0.83984375,0,realtime,worlds/l/mjc_walker.json,1
80.515625,1.0,0.99902344,0,realtime,worlds/l/h17_unicycle.json,1
48.533203,0.99902344,0.9458008,0,realtime,worlds/l/chain_lander.json,1
66.28906,0.99658203,0.97265625,0,realtime,worlds/l/catcher_v3.json,1
168.53906,0.89208984,0.90478516,0,realtime,worlds/l/trampoline.json,1
47.706055,0.98779297,0.9663086,0,realtime,worlds/l/car_launch.json,1
34.815918,0.99560547,0.96533203,0,bid,worlds/l/grasp_easy.json,1
97.36719,0.76660156,0.74902344,0,bid,worlds/l/catapult.json,1
53.08545,1.0,0.9995117,0,bid,worlds/l/cartpole_thrust.json,1
48.52832,0.98095703,0.92871094,0,bid,worlds/l/hard_lunar_lander.json,1
73.302734,0.9916992,0.87109375,0,bid,worlds/l/mjc_half_cheetah.json,1
143.46582,1.0,0.9199219,0,bid,worlds/l/mjc_swimmer.json,1
163.33789,0.96240234,0.82470703,0,bid,worlds/l/mjc_walker.json,1
78.0918,1.0,0.99853516,0,bid,worlds/l/h17_unicycle.json,1
48.026855,0.9970703,0.953125,0,bid,worlds/l/chain_lander.json,1
66.28174,0.9975586,0.9760742,0,bid,worlds/l/catcher_v3.json,1
172.01367,0.81640625,0.84375,0,bid,worlds/l/trampoline.json,1
46.67871,0.9926758,0.97216797,0,bid,worlds/l/car_launch.json,1
34.890625,0.9897461,0.9658203,0,hard_masking,worlds/l/grasp_easy.json,1
98.819336,0.7597656,0.73876953,0,hard_masking,worlds/l/catapult.json,1
54.648438,0.9995117,0.99902344,0,hard_masking,worlds/l/cartpole_thrust.json,1
49.41504,0.98583984,0.9355469,0,hard_masking,worlds/l/hard_lunar_lander.json,1
69.11133,0.99365234,0.89404297,0,hard_masking,worlds/l/mjc_half_cheetah.json,1
148.40869,0.9995117,0.91796875,0,hard_masking,worlds/l/mjc_swimmer.json,1
171.04639,0.9404297,0.8027344,0,hard_masking,worlds/l/mjc_walker.json,1
77.17041,0.99902344,0.9970703,0,hard_masking,worlds/l/h17_unicycle.json,1
48.211426,0.9975586,0.9423828,0,hard_masking,worlds/l/chain_lander.json,1
67.28174,0.9970703,0.9741211,0,hard_masking,worlds/l/catcher_v3.json,1
173.23242,0.79248047,0.8305664,0,hard_masking,worlds/l/trampoline.json,1
47.759766,0.99072266,0.97021484,0,hard_masking,worlds/l/car_launch.json,1
34.936035,0.9824219,0.96191406,0,naive,worlds/l/grasp_easy.json,2
109.15381,0.70996094,0.6923828,0,naive,worlds/l/catapult.json,2
52.864746,0.9995117,0.99902344,0,naive,worlds/l/cartpole_thrust.json,2
49.666016,0.9873047,0.94140625,0,naive,worlds/l/hard_lunar_lander.json,2
71.12109,0.99316406,0.8955078,0,naive,worlds/l/mjc_half_cheetah.json,2
151.26807,1.0,0.91064453,0,naive,worlds/l/mjc_swimmer.json,2
173.16846,0.93896484,0.80810547,0,naive,worlds/l/mjc_walker.json,2
77.104004,0.9980469,0.99365234,0,naive,worlds/l/h17_unicycle.json,2
48.040527,0.9951172,0.9379883,0,naive,worlds/l/chain_lander.json,2
67.3418,0.99609375,0.97753906,0,naive,worlds/l/catcher_v3.json,2
171.65674,0.8095703,0.8496094,0,naive,worlds/l/trampoline.json,2
49.953613,0.9819336,0.9638672,0,naive,worlds/l/car_launch.json,2
34.06201,0.99316406,0.96728516,0,realtime,worlds/l/grasp_easy.json,2
111.3833,0.69921875,0.68115234,0,realtime,worlds/l/catapult.json,2
54.12256,0.99902344,0.9995117,0,realtime,worlds/l/cartpole_thrust.json,2
48.93994,0.9848633,0.94970703,0,realtime,worlds/l/hard_lunar_lander.json,2
73.27588,0.98876953,0.8671875,0,realtime,worlds/l/mjc_half_cheetah.json,2
152.40381,1.0,0.91748047,0,realtime,worlds/l/mjc_swimmer.json,2
170.37598,0.921875,0.80371094,0,realtime,worlds/l/mjc_walker.json,2
80.02051,1.0,0.9995117,0,realtime,worlds/l/h17_unicycle.json,2
48.33789,0.9975586,0.9399414,0,realtime,worlds/l/chain_lander.json,2
67.26709,0.99560547,0.9785156,0,realtime,worlds/l/catcher_v3.json,2
170.93555,0.8183594,0.8540039,0,realtime,worlds/l/trampoline.json,2
50.18994,0.9746094,0.95458984,0,realtime,worlds/l/car_launch.json,2
35.239258,0.9946289,0.9682617,0,bid,worlds/l/grasp_easy.json,2
106.99805,0.71972656,0.69970703,0,bid,worlds/l/catapult.json,2
52.30078,0.99902344,0.9995117,0,bid,worlds/l/cartpole_thrust.json,2
48.86377,0.98876953,0.94189453,0,bid,worlds/l/hard_lunar_lander.json,2
73.916016,0.98779297,0.8823242,0,bid,worlds/l/mjc_half_cheetah.json,2
151.04932,0.9995117,0.90478516,0,bid,worlds/l/mjc_swimmer.json,2
169.42041,0.9399414,0.8022461,0,bid,worlds/l/mjc_walker.json,2
77.76465,0.9970703,0.9946289,0,bid,worlds/l/h17_unicycle.json,2
48.092285,0.99902344,0.9428711,0,bid,worlds/l/chain_lander.json,2
66.75293,0.99853516,0.9765625,0,bid,worlds/l/catcher_v3.json,2
174.03564,0.78222656,0.8178711,0,bid,worlds/l/trampoline.json,2
48.22119,0.98779297,0.96777344,0,bid,worlds/l/car_launch.json,2
34.94336,0.98046875,0.96191406,0,hard_masking,worlds/l/grasp_easy.json,2
109.049805,0.7104492,0.6933594,0,hard_masking,worlds/l/catapult.json,2
52.86035,0.9995117,0.99902344,0,hard_masking,worlds/l/cartpole_thrust.json,2
49.666016,0.9873047,0.94140625,0,hard_masking,worlds/l/hard_lunar_lander.json,2
71.94922,0.99121094,0.8725586,0,hard_masking,worlds/l/mjc_half_cheetah.json,2
151.65576,1.0,0.9121094,0,hard_masking,worlds/l/mjc_swimmer.json,2
171.53906,0.95214844,0.8203125,0,hard_masking,worlds/l/mjc_walker.json,2
77.104004,0.9980469,0.99365234,0,hard_masking,worlds/l/h17_unicycle.json,2
48.143066,0.99658203,0.9379883,0,hard_masking,worlds/l/chain_lander.json,2
67.34961,0.99365234,0.97558594,0,hard_masking,worlds/l/catcher_v3.json,2
171.77393,0.8125,0.8491211,0,hard_masking,worlds/l/trampoline.json,2
49.85742,0.9824219,0.96484375,0,hard_masking,worlds/l/car_launch.json,2
35.14453,0.98339844,0.9628906,0,naive,worlds/l/grasp_easy.json,3
120.45166,0.65625,0.6411133,0,naive,worlds/l/catapult.json,3
50.283203,0.99658203,0.9975586,0,naive,worlds/l/cartpole_thrust.json,3
49.597656,0.984375,0.9428711,0,naive,worlds/l/hard_lunar_lander.json,3
70.18945,0.9941406,0.88623047,0,naive,worlds/l/mjc_half_cheetah.json,3
157.93018,0.9995117,0.9194336,0,naive,worlds/l/mjc_swimmer.json,3
177.91406,0.8964844,0.7685547,0,naive,worlds/l/mjc_walker.json,3
77.57715,0.99560547,0.9921875,0,naive,worlds/l/h17_unicycle.json,3
48.15576,0.99658203,0.9453125,0,naive,worlds/l/chain_lander.json,3
67.5332,0.9946289,0.97558594,0,naive,worlds/l/catcher_v3.json,3
174.98535,0.75341797,0.80126953,0,naive,worlds/l/trampoline.json,3
51.37549,0.9765625,0.95458984,0,naive,worlds/l/car_launch.json,3
34.157715,0.98828125,0.9663086,0,realtime,worlds/l/grasp_easy.json,3
118.63379,0.6645508,0.64746094,0,realtime,worlds/l/catapult.json,3
52.24756,0.99853516,0.99902344,0,realtime,worlds/l/cartpole_thrust.json,3
49.25586,0.9921875,0.9472656,0,realtime,worlds/l/hard_lunar_lander.json,3
74.11133,0.9916992,0.87841797,0,realtime,worlds/l/mjc_half_cheetah.json,3
162.27393,0.9995117,0.9121094,0,realtime,worlds/l/mjc_swimmer.json,3
178.43652,0.8720703,0.7553711,0,realtime,worlds/l/mjc_walker.json,3
79.67383,0.9995117,0.99853516,0,realtime,worlds/l/h17_unicycle.json,3
48.453613,0.99560547,0.95166016,0,realtime,worlds/l/chain_lander.json,3
67.80762,0.98876953,0.97509766,0,realtime,worlds/l/catcher_v3.json,3
173.30127,0.7832031,0.8276367,0,realtime,worlds/l/trampoline.json,3
49.309082,0.98291016,0.9614258,0,realtime,worlds/l/car_launch.json,3
35.009277,0.9863281,0.96484375,0,bid,worlds/l/grasp_easy.json,3
114.09424,0.68652344,0.6689453,0,bid,worlds/l/catapult.json,3
50.155273,0.99658203,0.9975586,0,bid,worlds/l/cartpole_thrust.json,3
49.135742,0.98779297,0.93847656,0,bid,worlds/l/hard_lunar_lander.json,3
75.575195,0.9926758,0.8623047,0,bid,worlds/l/mjc_half_cheetah.json,3
159.61572,1.0,0.9082031,0,bid,worlds/l/mjc_swimmer.json,3
178.43604,0.8652344,0.7475586,0,bid,worlds/l/mjc_walker.json,3
77.612305,0.99560547,0.9941406,0,bid,worlds/l/h17_unicycle.json,3
48.245117,0.9970703,0.9428711,0,bid,worlds/l/chain_lander.json,3
67.18457,0.9980469,0.97802734,0,bid,worlds/l/catcher_v3.json,3
172.75537,0.81152344,0.83203125,0,bid,worlds/l/trampoline.json,3
49.129883,0.9819336,0.9614258,0,bid,worlds/l/car_launch.json,3
35.149414,0.98291016,0.96240234,0,hard_masking,worlds/l/grasp_easy.json,3
120.76709,0.65478516,0.6381836,0,hard_masking,worlds/l/catapult.json,3
50.279785,0.99658203,0.9975586,0,hard_masking,worlds/l/cartpole_thrust.json,3
49.597656,0.984375,0.9428711,0,hard_masking,worlds/l/hard_lunar_lander.json,3
70.19238,0.99560547,0.8833008,0,hard_masking,worlds/l/mjc_half_cheetah.json,3
156.61865,1.0,0.8979492,0,hard_masking,worlds/l/mjc_swimmer.json,3
178.8247,0.89404297,0.7636719,0,hard_masking,worlds/l/mjc_walker.json,3
77.57715,0.99560547,0.9921875,0,hard_masking,worlds/l/h17_unicycle.json,3
48.05664,0.9980469,0.94433594,0,hard_masking,worlds/l/chain_lander.json,3
67.5249,0.99316406,0.9711914,0,hard_masking,worlds/l/catcher_v3.json,3
175.0122,0.75097656,0.80126953,0,hard_masking,worlds/l/trampoline.json,3
51.310547,0.9770508,0.9555664,0,hard_masking,worlds/l/car_launch.json,3
35.151855,0.97753906,0.95996094,0,naive,worlds/l/grasp_easy.json,4
118.76758,0.6640625,0.64941406,0,naive,worlds/l/catapult.json,4
49.95117,0.99853516,0.99853516,0,naive,worlds/l/cartpole_thrust.json,4
49.63623,0.9824219,0.93359375,0,naive,worlds/l/hard_lunar_lander.json,4
74.86865,0.99121094,0.8671875,0,naive,worlds/l/mjc_half_cheetah.json,4
164.9961,0.9970703,0.9135742,0,naive,worlds/l/mjc_swimmer.json,4
183.64697,0.8515625,0.73339844,0,naive,worlds/l/mjc_walker.json,4
77.28711,0.9897461,0.9897461,0,naive,worlds/l/h17_unicycle.json,4
48.398438,0.99316406,0.94091797,0,naive,worlds/l/chain_lander.json,4
67.75635,0.99072266,0.97314453,0,naive,worlds/l/catcher_v3.json,4
171.90137,0.80908203,0.8457031,0,naive,worlds/l/trampoline.json,4
52.520508,0.9711914,0.94677734,0,naive,worlds/l/car_launch.json,4
34.04541,0.98046875,0.96240234,0,realtime,worlds/l/grasp_easy.json,4
120.46582,0.65527344,0.64208984,0,realtime,worlds/l/catapult.json,4
51.507812,1.0,1.0,0,realtime,worlds/l/cartpole_thrust.json,4
49.32715,0.9892578,0.94189453,0,realtime,worlds/l/hard_lunar_lander.json,4
75.57861,0.99121094,0.8676758,0,realtime,worlds/l/mjc_half_cheetah.json,4
171.49805,0.9970703,0.90185547,0,realtime,worlds/l/mjc_swimmer.json,4
187.05615,0.7890625,0.70458984,0,realtime,worlds/l/mjc_walker.json,4
79.09473,0.99560547,0.9926758,0,realtime,worlds/l/h17_unicycle.json,4
48.49414,0.9951172,0.94677734,0,realtime,worlds/l/chain_lander.json,4
68.08154,0.98095703,0.9658203,0,realtime,worlds/l/catcher_v3.json,4
172.34082,0.8046875,0.8417969,0,realtime,worlds/l/trampoline.json,4
51.708496,0.97265625,0.9477539,0,realtime,worlds/l/car_launch.json,4
35.37207,0.9794922,0.9614258,0,bid,worlds/l/grasp_easy.json,4
117.19043,0.6713867,0.6582031,0,bid,worlds/l/catapult.json,4
49.9834,0.9951172,0.99609375,0,bid,worlds/l/cartpole_thrust.json,4
49.335938,0.98876953,0.9433594,0,bid,worlds/l/hard_lunar_lander.json,4
75.97266,0.9868164,0.8745117,0,bid,worlds/l/mjc_half_cheetah.json,4
170.14014,0.9970703,0.9057617,0,bid,worlds/l/mjc_swimmer.json,4
187.5581,0.79345703,0.69140625,0,bid,worlds/l/mjc_walker.json,4
77.79004,0.98779297,0.9863281,0,bid,worlds/l/h17_unicycle.json,4
48.260254,0.99560547,0.94189453,0,bid,worlds/l/chain_lander.json,4
67.43701,0.98828125,0.97558594,0,bid,worlds/l/catcher_v3.json,4
173.0791,0.79785156,0.8310547,0,bid,worlds/l/trampoline.json,4
50.805664,0.97998047,0.9536133,0,bid,worlds/l/car_launch.json,4
35.15869,0.9746094,0.9536133,0,hard_masking,worlds/l/grasp_easy.json,4
117.083984,0.6723633,0.65478516,0,hard_masking,worlds/l/catapult.json,4
49.95215,0.99853516,0.99902344,0,hard_masking,worlds/l/cartpole_thrust.json,4
49.63623,0.9824219,0.93359375,0,hard_masking,worlds/l/hard_lunar_lander.json,4
75.83594,0.984375,0.86621094,0,hard_masking,worlds/l/mjc_half_cheetah.json,4
165.3872,0.9970703,0.90527344,0,hard_masking,worlds/l/mjc_swimmer.json,4
183.88135,0.8515625,0.7373047,0,hard_masking,worlds/l/mjc_walker.json,4
77.28711,0.9897461,0.9897461,0,hard_masking,worlds/l/h17_unicycle.json,4
48.484863,0.9926758,0.94384766,0,hard_masking,worlds/l/chain_lander.json,4
67.82373,0.9916992,0.9741211,0,hard_masking,worlds/l/catcher_v3.json,4
171.97461,0.8144531,0.8457031,0,hard_masking,worlds/l/trampoline.json,4
52.69922,0.9716797,0.9472656,0,hard_masking,worlds/l/car_launch.json,4
35.370117,0.97802734,0.9628906,0,naive,worlds/l/grasp_easy.json,5
124.69629,0.63671875,0.6254883,0,naive,worlds/l/catapult.json,5
50.601074,0.99560547,0.99560547,0,naive,worlds/l/cartpole_thrust.json,5
49.734375,0.98046875,0.93896484,0,naive,worlds/l/hard_lunar_lander.json,5
74.90381,0.99121094,0.87158203,0,naive,worlds/l/mjc_half_cheetah.json,5
173.6001,0.99316406,0.89501953,0,naive,worlds/l/mjc_swimmer.json,5
187.54785,0.79248047,0.6855469,0,naive,worlds/l/mjc_walker.json,5
78.197754,0.9868164,0.98583984,0,naive,worlds/l/h17_unicycle.json,5
48.59619,0.9946289,0.9370117,0,naive,worlds/l/chain_lander.json,5
68.06348,0.98828125,0.9765625,0,naive,worlds/l/catcher_v3.json,5
172.42627,0.81103516,0.84277344,0,naive,worlds/l/trampoline.json,5
52.97705,0.9682617,0.9482422,0,naive,worlds/l/car_launch.json,5
33.925293,0.9824219,0.95947266,0,realtime,worlds/l/grasp_easy.json,5
130.1875,0.609375,0.59716797,0,realtime,worlds/l/catapult.json,5
51.8584,0.99609375,0.9970703,0,realtime,worlds/l/cartpole_thrust.json,5
49.351074,0.98339844,0.9477539,0,realtime,worlds/l/hard_lunar_lander.json,5
75.16211,0.98828125,0.8803711,0,realtime,worlds/l/mjc_half_cheetah.json,5
178.71924,0.99121094,0.89208984,0,realtime,worlds/l/mjc_swimmer.json,5
195.34131,0.7006836,0.6176758,0,realtime,worlds/l/mjc_walker.json,5
79.14014,0.9916992,0.9892578,0,realtime,worlds/l/h17_unicycle.json,5
48.36621,0.99560547,0.9472656,0,realtime,worlds/l/chain_lander.json,5
68.47119,0.96875,0.9609375,0,realtime,worlds/l/catcher_v3.json,5
172.40332,0.8066406,0.8378906,0,realtime,worlds/l/trampoline.json,5
52.961426,0.96972656,0.95458984,0,realtime,worlds/l/car_launch.json,5
35.444824,0.9760742,0.9609375,0,bid,worlds/l/grasp_easy.json,5
127.00488,0.625,0.6118164,0,bid,worlds/l/catapult.json,5
50.660156,0.99121094,0.99365234,0,bid,worlds/l/cartpole_thrust.json,5
49.44922,0.9868164,0.9394531,0,bid,worlds/l/hard_lunar_lander.json,5
76.09912,0.9848633,0.8745117,0,bid,worlds/l/mjc_half_cheetah.json,5
177.19482,0.9902344,0.9003906,0,bid,worlds/l/mjc_swimmer.json,5
193.72119,0.7167969,0.6308594,0,bid,worlds/l/mjc_walker.json,5
79.34424,0.9868164,0.9848633,0,bid,worlds/l/h17_unicycle.json,5
48.32959,0.99609375,0.9399414,0,bid,worlds/l/chain_lander.json,5
68.16748,0.98339844,0.97216797,0,bid,worlds/l/catcher_v3.json,5
172.08105,0.81152344,0.84521484,0,bid,worlds/l/trampoline.json,5
51.804688,0.97509766,0.9550781,0,bid,worlds/l/car_launch.json,5
35.331543,0.97558594,0.96240234,0,hard_masking,worlds/l/grasp_easy.json,5
124.748535,0.6357422,0.6220703,0,hard_masking,worlds/l/catapult.json,5
50.597656,0.99560547,0.99609375,0,hard_masking,worlds/l/cartpole_thrust.json,5
49.734375,0.98046875,0.93896484,0,hard_masking,worlds/l/hard_lunar_lander.json,5
75.069824,0.9902344,0.8745117,0,hard_masking,worlds/l/mjc_half_cheetah.json,5
173.56299,0.99121094,0.90771484,0,hard_masking,worlds/l/mjc_swimmer.json,5
189.64209,0.76464844,0.67626953,0,hard_masking,worlds/l/mjc_walker.json,5
78.197754,0.9868164,0.98583984,0,hard_masking,worlds/l/h17_unicycle.json,5
48.601074,0.9946289,0.9379883,0,hard_masking,worlds/l/chain_lander.json,5
68.04736,0.9873047,0.97265625,0,hard_masking,worlds/l/catcher_v3.json,5
172.16992,0.81347656,0.84277344,0,hard_masking,worlds/l/trampoline.json,5
52.84131,0.9682617,0.9477539,0,hard_masking,worlds/l/car_launch.json,5
35.39746,0.97021484,0.95166016,0,naive,worlds/l/grasp_easy.json,6
128.44727,0.6176758,0.60253906,0,naive,worlds/l/catapult.json,6
51.23877,0.99609375,0.9970703,0,naive,worlds/l/cartpole_thrust.json,6
49.845703,0.96875,0.93603516,0,naive,worlds/l/hard_lunar_lander.json,6
75.086426,0.9873047,0.8642578,0,naive,worlds/l/mjc_half_cheetah.json,6
182.12158,0.98535156,0.88427734,0,naive,worlds/l/mjc_swimmer.json,6
192.3418,0.7416992,0.6489258,0,naive,worlds/l/mjc_walker.json,6
78.31348,0.98095703,0.97998047,0,naive,worlds/l/h17_unicycle.json,6
48.271973,0.99658203,0.95214844,0,naive,worlds/l/chain_lander.json,6
67.87988,0.98535156,0.96484375,0,naive,worlds/l/catcher_v3.json,6
171.17725,0.8198242,0.85498047,0,naive,worlds/l/trampoline.json,6
58.976562,0.9433594,0.92041016,0,naive,worlds/l/car_launch.json,6
34.54785,0.9711914,0.9506836,0,realtime,worlds/l/grasp_easy.json,6
127.484375,0.6220703,0.6088867,0,realtime,worlds/l/catapult.json,6
52.12744,0.99560547,0.9970703,0,realtime,worlds/l/cartpole_thrust.json,6
49.77295,0.98095703,0.9458008,0,realtime,worlds/l/hard_lunar_lander.json,6
75.07422,0.9873047,0.87597656,0,realtime,worlds/l/mjc_half_cheetah.json,6
185.32178,0.97998047,0.8911133,0,realtime,worlds/l/mjc_swimmer.json,6
196.01172,0.6933594,0.6113281,0,realtime,worlds/l/mjc_walker.json,6
79.02588,0.98046875,0.98046875,0,realtime,worlds/l/h17_unicycle.json,6
48.51123,0.9946289,0.94384766,0,realtime,worlds/l/chain_lander.json,6
68.2041,0.9794922,0.9633789,0,realtime,worlds/l/catcher_v3.json,6
172.18164,0.8046875,0.83984375,0,realtime,worlds/l/trampoline.json,6
58.563477,0.9394531,0.92285156,0,realtime,worlds/l/car_launch.json,6
36.2583,0.96875,0.95458984,0,bid,worlds/l/grasp_easy.json,6
126.33252,0.6279297,0.61328125,0,bid,worlds/l/catapult.json,6
51.12207,0.99365234,0.9941406,0,bid,worlds/l/cartpole_thrust.json,6
49.64502,0.9868164,0.9477539,0,bid,worlds/l/hard_lunar_lander.json,6
76.3457,0.98095703,0.87158203,0,bid,worlds/l/mjc_half_cheetah.json,6
187.0625,0.97314453,0.8730469,0,bid,worlds/l/mjc_swimmer.json,6
200.12305,0.62841797,0.5546875,0,bid,worlds/l/mjc_walker.json,6
77.84961,0.9824219,0.98046875,0,bid,worlds/l/h17_unicycle.json,6
48.390137,0.99316406,0.9506836,0,bid,worlds/l/chain_lander.json,6
67.90625,0.98339844,0.9633789,0,bid,worlds/l/catcher_v3.json,6
172.86084,0.7939453,0.8300781,0,bid,worlds/l/trampoline.json,6
59.07617,0.94189453,0.9248047,0,bid,worlds/l/car_launch.json,6
35.36914,0.96972656,0.95214844,0,hard_masking,worlds/l/grasp_easy.json,6
128.90674,0.61572266,0.5996094,0,hard_masking,worlds/l/catapult.json,6
51.240723,0.99609375,0.9975586,0,hard_masking,worlds/l/cartpole_thrust.json,6
49.845703,0.96875,0.93603516,0,hard_masking,worlds/l/hard_lunar_lander.json,6
74.59766,0.984375,0.87402344,0,hard_masking,worlds/l/mjc_half_cheetah.json,6
180.87744,0.9824219,0.8745117,0,hard_masking,worlds/l/mjc_swimmer.json,6
191.28564,0.7475586,0.66064453,0,hard_masking,worlds/l/mjc_walker.json,6
78.31348,0.98095703,0.97998047,0,hard_masking,worlds/l/h17_unicycle.json,6
48.165527,0.9970703,0.9511719,0,hard_masking,worlds/l/chain_lander.json,6
67.88916,0.98339844,0.9633789,0,hard_masking,worlds/l/catcher_v3.json,6
171.03076,0.81884766,0.85595703,0,hard_masking,worlds/l/trampoline.json,6
